Drug_Database,Targets
ixabepilone_PubChem,"['TUBB4B', 'KRAS', 'TUBB', 'PGR', 'ESR2', 'TUBA4A', 'TUBA3D', 'TUBB6', 'TUBB2B', 'TUBB3', 'ERBB2', 'TUBA3E', 'ESR1', 'TUBB8', 'TUBB4A', 'TUBA1B', 'TUBB1', 'TUBB2A', 'TUBA3C', 'CYP3A4', 'TUBA1C', 'ABCB1', 'TUB', 'TUBA1A']"
quazepam_PubChem,"['CYP2B6', 'GABRB2', 'GABRA1', 'GABRA6', 'GABRE', 'GABRR3', 'GABRA3', 'GABRB3', 'CYP2C19', 'CYP2C9', 'GABRA2', 'GABRB1', 'GABRR2', 'GABRR1', 'GABRG1', 'GABRA5', 'GABRA4', 'GABRG3', 'GABRD', 'GABRQ', 'GABRP', 'TSPO', 'CYP3A4', 'GABRG2']"
chlorthalidone_PubChem,"['CA12', 'ACE', 'CA5A', 'CA5B', 'REN', 'VEGFC', 'SLC12A3', 'CA14', 'Car13', 'NPPA', 'TGFB3', 'CA3', 'MMP3', 'NRP2', 'CA4', 'CA7', 'CA9', 'SLC12A1', 'FGFR3', 'CA6', 'ALB', 'CA2', 'CA1', 'AGT']"
diflunisal_PubChem,"['UGT1A10', 'UGT1A9', 'SLC22A6', 'PTGS1', 'DHFR', 'UGT2B7', 'FOS', 'HLA-A', 'UGT1A3', 'TTR', 'IL6', 'IL1B', 'SLC6A8', 'NFE2L2', 'TNF', 'NOS2', 'PTGS2', 'UGT1A7', 'HSD17B10', 'UGT1A1', 'ALB', 'CA2', 'CA1', 'UGT1A8']"
procainamide_PubChem,"['SLC22A16', 'RASSF1', 'BCHE', 'DNMT1', 'CYP2D6', 'SLC22A3', 'NAT2', 'SCN5A', 'COP1', 'MPO', 'HSD11B2', 'SLC22A5', 'KCNH2', 'SLC22A1', 'CDKN2A', 'SLC47A1', 'FOXP3', 'WIPI1', 'TAS2R9', 'NAT1', 'SLC22A2', 'SLC47A2', 'SLC22A4', 'RAPSN']"
pimecrolimus_PubChem,"['CYP2B6', 'NCOA1', 'ABCB11', 'Fkbp1a', 'EPHX1', 'FASN', 'ICAM1', 'IFNG', 'TNFRSF4', 'NR1I2', 'FKBP1A', 'CSF2', 'IL1A', 'CYP2C8', 'UGT1A3', 'AKR1B10', 'TNF', 'IL2RA', 'PPP3CA', 'IL2', 'MTOR', 'IL4', 'CYP3A4', 'ABCB1']"
hydroxyzine_PubChem,"['HRH1', 'CYP1A2', 'ACE2', 'ABCB4', 'SLPI', 'SLCO1B3', 'GSTP1', 'CYP2D6', 'TMPRSS2', 'CYP2C19', 'SLCO1B1', 'PID1', 'CYP2C9', 'HRH4', 'HEXB', 'KCNH2', 'IL1B', 'CYP3A5', 'SLC22A2', 'ALB', 'IL4', 'CYP3A4', 'ABCB1', 'IL24']"
abiraterone_PubChem,"['TSPYL1', 'CYP1A2', 'SRD5A3', 'EEF1A1', 'CYP2D6', 'ORM1', 'CYP2C19', 'F3', 'CYP11B2', 'CYP2C9', 'PTEN', 'CD46', 'ABCC1', 'CYP11B1', 'CYP2C8', 'DSE', 'SULT2A1', 'CYP17A1', 'AR', 'ALB', 'SRD5A2', 'CYP3A4', 'SRD5A1', 'TUBA1A']"
safinamide_PubChem,"['CYP1A2', 'SCN9A', 'ABCG2', 'CYP1A1', 'CYP2D6', 'CACNA2D2', 'SCN5A', 'SLCO3A1', 'SCN1A', 'CYP2C19', 'SCN8A', 'CACNA2D1', 'SCN11A', 'CACNB3', 'MAOA', 'CACNA1B', 'SCN7A', 'CYP3A5', 'SCN3A', 'CACNB4', 'MAOB', 'SCN4A', 'CYP3A4', 'SCN2A']"
rosuvastatin_PubChem,"['SLC22A8', 'HLA-DRB1', 'ITGAL', 'SLCO2B1', 'COQ2', 'ABCG2', 'SLC7A11', 'ABCB11', 'SLCO1B3', 'NOS3', 'ABCC4', 'ABCC2', 'Hmgcr', 'SLCO1B1', 'CYP2C9', 'SLC10A1', 'FMO3', 'CYP3A5', 'KIF6', 'SLCO1A2', 'HMGCR', 'CRP', 'ALB']"
saxagliptin_PubChem,"['SLC22A8', 'RELA', 'BCL2', 'CASP3', 'HMGB1', 'ICAM1', 'CYCS', 'SLCO4C1', 'DPP4', 'MPO', 'NOX4', 'HMOX1', 'ABCC1', 'TNF', 'NFE2L2', 'CYP3A5', 'MMP2', 'NOS2', 'MYD88', 'MMP9', 'TH', 'CYP3A4', 'BDNF']"
nelfinavir_PubChem,"['ORF1ab', 'CYP2B6', 'SLCO2B1', 'AKT1', 'ABCG2', 'ABCB11', 'CYP2D6', 'SLCO1B3', 'ORM1', 'CYP2C19', 'SLCO1B1', 'CYP3A7-CYP3A51P', 'CYP2C9', 'TLR4', 'SLC22A1', 'IL6', 'CYP3A5', 'SLCO1A2', 'ALB', 'UGT1A1', 'CYP3A4', 'TFAP2A', 'ABCB1']"
nintedanib_PubChem,"['LYN', 'LATS1', 'PDGFRB', 'HCK', 'KDR', 'AKT1', 'FRK', 'FLT1', 'FLT3', 'FGR', 'FLT4', 'BLK', 'FGFR1', 'FGFR4', 'FGFR2', 'CFLAR', 'FYN', 'YES1', 'LCK', 'FGFR3', 'SRC', 'TUBA1A', 'PDGFRA']"
tapentadol_PubChem,"['UGT1A9', 'OPRD1', 'BCHE', 'OPRM1', 'SULT1A3', 'CASP9', 'CYP2D6', 'LDHA', 'CASP3', 'UGT2B7', 'CYP2C19', 'SULT1A1', 'CKB', 'GPT', 'CYP2C9', 'OPRK1', 'PDK3', 'SLC6A4', 'NDUFS1', 'HTR3A', 'ALDOC', 'NPIPB8', 'SLC6A2']"
fenoprofen_PubChem,"['HPGD', 'UGT1A10', 'PTGR1', 'PTGS1', 'PPARA', 'DHRS11', 'ACSL1', 'UGT2B7', 'ACSL6', 'HLA-DPA1', 'TGFB1', 'UGT1A3', 'NGFR', 'TNF', 'SLC5A8', 'HLA-DQB1', 'HLA-DRB6', 'PPARG', 'PTGS2', 'UGT1A7', 'ALB', 'UGT1A8']"
losartan_PubChem,"['UGT1A10', 'Agtr1a', 'SLC22A6', 'Agtr1b', 'SLC2A9', 'ABCB11', 'UGT2B7', 'SLC22A12', 'CYP2C19', 'CYP2C9', 'STK39', 'UGT1A3', 'CYP2C8', 'CYP3A5', 'CAMK1D', 'AGTR1', 'NPHS1', 'UGT1A1', 'ALB', 'CYP3A4', 'UGT2B17', 'ABCB1']"
ciclopirox_PubChem,"['MAP2K1', 'NR3C1', 'MAPK3', 'TP53', 'PTGS1', 'PGR', 'FKBP5', 'FLT4', 'BIRC5', 'ESR1', 'MAPT', 'PARP1', 'HMOX1', 'KCNH2', 'HIF1A', 'MAPK1', 'RRM2', 'SLC47A1', 'ATP1A1', 'AR', 'PTGS2', 'ALOX15']"
desloratadine_PubChem,"['HPCAL1', 'HRH1', 'CHURC1-FNTB', 'RELA', 'IL5', 'BCL2', 'CYP2D6', 'CASP3', 'CCNB1', 'ABCC2', 'F3', 'PARP1', 'CDK1', 'KCNH2', 'PPARD', 'FCER1A', 'CXCL8', 'NMT1', 'SLC22A2', 'CYP3A4', 'ABCB1', 'ACE2']"
trihexyphenidyl_PubChem,"['MET', 'APOE', 'TNFAIP6', 'EREG', 'SLC7A11', 'SLPI', 'ADRB3', 'BMP6', 'PID1', 'CHRM1', 'CHRM3', 'CHRM2', 'IL1A', 'CHRM5', 'IL1B', 'COMT', 'CHRM4', 'CXCL8', 'SLC22A2', 'PTGS2', 'ALB', 'IL24']"
trifluridine_PubChem,"['SLC22A6', 'ESRRA', 'CTSB', 'TP53', 'NR1I3', 'ESR2', 'CASP9', 'CASP3', 'ERBB2', 'NR1I2', 'PARP1', 'CDC21', 'NFE2L2', 'CASP8', 'TYMS', 'TYMP', 'ALB', 'SLC29A2', 'SLC28A1', 'CYP3A4', 'TK1', 'SLC29A1']"
voriconazole_PubChem,"['CYP2B6', 'Cyp3a11', 'PTGS1', 'RELA', 'ABCG2', 'NR1I3', 'ERG11', 'CYP2D6', 'CYP51A1', 'CYP1B1', 'CYP2C19', 'CYP3A7-CYP3A51P', 'CYP2C9', 'NR1I2', 'FMO3', 'CYP3A5', 'FMO1', 'ACHE', 'CA2', 'CYP3A4', 'CA1', 'ABCB1']"
amifostine_PubChem,"['CDKN1A', 'TP53', 'RELA', 'SMAD2', 'BCL2', 'GSR', 'CASP3', 'TP53I3', 'MPO', 'TGFB1', 'MYC', 'NFKBIA', 'BAX', 'MDM2', 'ALPG', 'MAPK14', 'CDK1', 'MYL2', 'IL6', 'EI24', 'PCNA', 'ALPL']"
trimethoprim_PubChem,"['CYP1A2', 'Dhfr', 'DHFR', 'CYP2D6', 'SLC22A3', 'CBX1', 'CYP2C19', 'MPO', 'CYP2C9', 'G6PD', 'folA', 'CYP2C8', 'SLC22A1', 'IL6', 'SLC47A1', 'GSTM1', 'ACHE', 'SLC47A2', 'CD74', 'CYP3A4', 'HLA-DOB', 'ABCB1']"
azelaic acid_PubChem,"['TYRP1', 'GNA15', 'DCT', 'MAPK3', 'SRD5A3', 'CD68', 'IGFBP3', 'polA', 'MBNL1', 'AKR1D1', 'ESR1', 'SERPINE1', 'TYR', 'MAPK1', 'GNAL', 'PLAU', 'Or55b4', 'PPARG', 'SRD5A2', 'PLAT', 'MITF', 'SRD5A1']"
benzyl alcohol_PubChem,"['CYP1A2', 'Cyp2c6v1', 'SULT1A3', 'CYP1A1', 'Cyp2b1', 'Cyp2b2', 'CYP2D6', 'CYP2E1', 'SULT1B1', 'SULT1A1', 'Ugt2b1', 'AKR1B1', 'Cyp2c11', 'Or43a', 'SULT1A2', 'IL1A', 'CYP2C8', 'LIF', 'Akr1b8', 'CYP2A6', 'ALDH2']"
eszopiclone_PubChem,"['GABRB2', 'GABRA1', 'GABRA6', 'GABRE', 'GABRA3', 'GABRB3', 'GABRA2', 'GABRB1', 'GABRG1', 'GABRA5', 'GABRA4', 'CYP2C8', 'GABRG3', 'GABRD', 'GABRQ', 'CYP3A5', 'GABRP', 'TSPO', 'S1PR3', 'CYP3A4', 'GABRG2']"
flumazenil_PubChem,"['GABRB2', 'GABRA1', 'GABRA6', 'GABRE', 'GABRA3', 'GABRB3', 'CYP2C19', 'Gabra4', 'GABRA2', 'GABRB1', 'GABRG1', 'GABRA5', 'GABRA4', 'GABRG3', 'GABRD', 'NFE2L2', 'GABRQ', 'GABRP', 'SLC22A2', 'TSPO', 'GABRG2']"
epoprostenol_PubChem,"['ACE', 'MAPK3', 'PTGER4', 'PTGER1', 'IL10', 'FBN1', 'PDGFA', 'HSD11B2', 'MAPK1', 'IL1A', 'CCL2', 'IL1B', 'KNG1', 'H6PD', 'EDNRB', 'TNF', 'PPARGC1A', 'HSD11B1', 'PTGS2', 'PTGIR', 'AGT']"
protriptyline_PubChem,"['MET', 'DRD1', 'ABCB4', 'EREG', 'SLC7A11', 'NFKB1', 'SLPI', 'CYP2D6', 'BMP6', 'SLC6A2', 'SULT1A1', 'PID1', 'ADORA3', 'SLC6A4', 'SULT2A1', 'SLC6A3', 'THPO', 'PTGS2', 'HSD17B10', 'ABCB1', 'IL24']"
montelukast_PubChem,"['CYP1A2', 'SLCO2B1', 'PTGS1', 'LTC4S', 'CYP2D6', 'GALNT17', 'MLLT3', 'LTA4H', 'CYP2C19', 'CYSLTR1', 'CYP2C9', 'ABCC9', 'Gpr17', 'ABCC1', 'UGT1A3', 'CYP2C8', 'CYP3A5', 'CA10', 'CYP2A6', 'ALOX5', 'CYP3A4']"
butalbital_PubChem,"['GABRB2', 'GABRA1', 'GABRA6', 'GABRE', 'GRIA2', 'GABRA3', 'GABRB3', 'GABRG2', 'GABRA2', 'CHRNA4', 'GABRB1', 'GABRG1', 'GABRA5', 'GABRA4', 'GABRG3', 'GABRD', 'GABRQ', 'GABRP', 'CHRNA7', 'GRIK2', 'CHRFAM7A']"
guanidine_PubChem,"['e', 'SLC22A16', 'SLC22A8', 'KL', 'SPTB', 'SLC22A3', 'SPTA1', 'PAEP', 'NOX4', 'SLC22A5', 'SOD1', 'SLC22A1', 'DLG4', 'SLC47A1', 'SLC22A2', 'SLC47A2', 'GAMT', 'SLC22A4', 'RNASE1', 'ALB', 'ALDH2']"
zolmitriptan_PubChem,"['CYP1A2', 'HTR1F', 'BCL2', 'CASP9', 'NOS3', 'HTR2A', 'CASP3', 'HTR1D', 'HTR1A', 'HTR1B', 'BCL2L1', 'GPT', 'BAX', 'MAOA', 'HTR2B', 'HTR1E', 'NOS2', 'HTR4', 'HTR7', 'BAD', 'ABCB1']"
nabumetone_PubChem,"['AKR1C1', 'CYP1A2', 'PTGS1', 'BCL2', 'AKR1C4', 'HSPA7', 'CYP2J2', 'MPO', 'FOS', 'CYP2C9', 'NR1I2', 'AKR1C2', 'DDIT3', 'RAPGEF4', 'SMN2', 'HSD11B1', 'PTGS2', 'UTRN', 'ALB', 'SELL', 'SMN1']"
oxybutynin_PubChem,"['Chrm1', 'MET', 'ABCB4', 'SLPI', 'ABCB11', 'CYP2D6', 'ORM1', 'CHRM1', 'CHRM3', 'DRD2', 'CHRM2', 'CYP2C8', 'CHRM5', 'CYP3A5', 'CHRM4', 'SLC22A2', 'ALB', 'JUN', 'CYP3A4', 'CES2', 'IL24']"
dicloxacillin_PubChem,"['SLC22A8', 'ABCB11', 'HMGB1', 'ICAM1', 'SLC15A2', 'GPT', 'NR1I2', 'S100A9', 'SLC15A1', 'IL1B', 'S100A8', 'AGER', 'GLS', 'NLRP3', 'CXCL1', 'ALB', 'IL4', 'CYP3A4', 'CXCL2', 'ABCB1']"
pasireotide_PubChem,"['CYP19A1', 'SSTR4', 'BMP2', 'BMP6', 'SSTR5', 'BMP4', 'SMAD7', 'SSTR2', 'HSD3B2', 'CYP11A1', 'SSTR1', 'SSTR3', 'BMP7', 'STAR', 'FSHB', 'ID1', 'Sstr2', 'SMAD6', 'CYP3A4', 'NOG']"
disopyramide_PubChem,"['CYP1A2', 'CYP2D6', 'SCN5A', 'TMPRSS2', 'ORM1', 'KCND2', 'CHRM1', 'CHRM3', 'ORM2', 'NR1I2', 'CHRM2', 'NR0B2', 'KCNH2', 'SLC22A1', 'ASAH1', 'SLC22A2', 'HCN4', 'CYP3A4', 'KCND3', 'ACE2']"
hydroflumethiazide_PubChem,"['CA12', 'SLC22A8', 'SLC22A6', 'CA5A', 'KCNMA1', 'CA5B', 'SLC12A3', 'CA14', 'Car13', 'CA3', 'CA4', 'CA7', 'CA9', 'ATP1A1', 'KDM4E', 'SLC12A1', 'CA6', 'ALB', 'CA2', 'CA1']"
cobicistat_PubChem,"['NR1I3', 'ABCG2', 'CYP3A7', 'SLCO1B3', 'CYP2D6', 'HSPA5', 'SLCO1B1', 'CYP3A7-CYP3A51P', 'NR1I2', 'BAX', 'DDIT3', 'TNFRSF10B', 'CBR3', 'CYP3A5', 'CH25H', 'CYP3A43', 'CYP3A4', 'GPX2', 'ABCB1', 'ATF3']"
modafinil_PubChem,"['CYP1A2', 'CYP2B6', 'ADORA2A', 'CYP2D6', 'CYP2C19', 'ACP5', 'TNFSF11', 'FOS', 'CYP2C9', 'NR1I2', 'ADRA1B', 'ADORA2B', 'TNFRSF11A', 'SLC6A3', 'Slc6a3', 'CYP3A5', 'RUNX2', 'COMT', 'CYP3A4', 'ABCB1']"
azelastine_PubChem,"['HRH1', 'CYP1A2', 'CYP2B6', 'LTC4S', 'CYP1A1', 'CYP2D6', 'CYP2E1', 'CYP2C19', 'CYP2C9', 'ADRA1B', 'KCNH2', 'HRH2', 'CYP2C8', 'CYP3A5', 'HRH3', 'PLA2G1B', 'CYP2A6', 'CYP3A4', 'ADRA1A', 'ABCB1']"
pergolide_PubChem,"['DRD3', 'DRD1', 'DRD4', 'ADRA2C', 'HTR2A', 'HTR1D', 'HTR1A', 'ADRA2B', 'HTR1B', 'DRD2', 'DRD5', 'ADRA1D', 'ADRA1B', 'HTR2B', 'HTR2C', 'Htr7', 'CYP3A4', 'ADRA1A', 'ADRA2A', 'Htr6']"
atomoxetine_PubChem,"['CYP2D6', 'FCGR1A', 'ORM1', 'CYP2C19', 'GRIN2D', 'ORM2', 'OPRK1', 'GRIN2C', 'KCNH2', 'SLC6A4', 'SLC6A3', 'GRIN1', 'TSHR', 'GRIN2B', 'GRIN3B', 'GRIN2A', 'GRIN3A', 'ALB', 'KCNJ3', 'SLC6A2']"
aminophylline_PubChem,"['HRH1', 'CYP1A2', 'ADORA2A', 'PDE4C', 'PDE3B', 'BCL2', 'CYP2E1', 'HDAC2', 'Ins1', 'PDE4A', 'ADORA3', 'ADORA2B', 'CAT', 'GCG', 'PDE4D', 'PDE4B', 'ALDH18A1', 'PDE3A', 'CYP3A4', 'ADORA1']"
cefixime_PubChem,"['POLI', 'PLCG1', 'TDP1', 'SIRT5', 'APEX1', 'RAB8A', 'mrcB', 'KDM4A', 'SLC15A2', 'SLC22A5', 'SLC15A1', 'GLS', 'POLK', 'SUMO1', 'mrdA', 'mrcA', 'ftsI', 'POLH', 'APAF1', 'dacC']"
cefaclor_PubChem,"['PLK1', 'SLC22A8', 'SLC22A6', 'EHMT2', 'CTDSP1', 'ABCB11', 'ABCC4', 'ABCC2', 'KDM4A', 'SLC15A2', 'MPO', 'VDR', 'NR1I2', 'MAPT', 'SLC15A1', 'IL1B', 'GLS', 'ABCC3', 'CYP3A4', 'BAZ2B']"
rabeprazole_PubChem,"['CYP1A2', 'EHMT2', 'ABCG2', 'ATP4B', 'CYP1A1', 'CYP2D6', 'ATP4A', 'ALOX15B', 'IL10', 'CYP2C19', 'VDR', 'CYP2C9', 'MAPT', 'ALDH1A1', 'HEXB', 'CYP2C8', 'IL1B', 'TNF', 'CYP3A4']"
chlorpropamide_PubChem,"['CYP1A2', 'SLC22A6', 'PTGS1', 'KCNJ1', 'NFKB1', 'CYP2D6', 'CYP2C19', 'SLC15A2', 'FOS', 'AVP', 'CYP2C9', 'G6PD', 'ABCC8', 'KCNJ11', 'SLC15A1', 'KCNJ10', 'INS', 'CYP3A4', 'ACE2']"
cyclobenzaprine_PubChem,"['DRD1', 'CYP1A2', 'ADRA2C', 'CYP2D6', 'HTR6', 'HTR2A', 'AOX1', 'UGT2B10', 'TLR4', 'SLC6A4', 'HTR2B', 'CYP3A5', 'HTR2C', 'HTR7', 'SLC22A2', 'UGT1A4', 'ALB', 'CYP3A4', 'SLC6A2']"
dorzolamide_PubChem,"['CA12', 'NCE103', 'CA5A', 'canA', 'CA5B', 'CYP2E1', 'CA14', 'Car13', 'CYP2C9', 'CA3', 'CA4', 'CA7', 'CA9', 'Cyp3a2', 'Car5a', 'CA6', 'CA2', 'CYP3A4', 'CA1']"
rufinamide_PubChem,"['IGF1R', 'SCN9A', 'CBX1', 'CYP2E1', 'SCN5A', 'SCN1A', 'SCN10A', 'SCN8A', 'SCN11A', 'GRM5', 'SCN7A', 'CREB1', 'CES1', 'IGF1', 'SCN3A', 'ALB', 'CYP3A4', 'SCN4A', 'SCN2A']"
cysteamine_PubChem,"['EHMT2', 'MMP14', 'CTSD', 'VNN1', 'CYP7A1', 'CFTR', 'SST', 'GHRL', 'SOD2', 'MPO', 'GCLC', 'HMOX1', 'NPY2R', 'FMO2', 'Qpct', 'FMO1', 'MMP9', 'ALB', 'MMP12']"
minoxidil_PubChem,"['MET', 'CYP1A2', 'PTGS1', 'EREG', 'SULT1A3', 'KCNJ1', 'REN', 'SLPI', 'CYP2D6', 'CYP2C19', 'SULT1A1', 'CYP2C9', 'ABCC9', 'KCNJ11', 'CALCA', 'UGT1A1', 'CYP3A4', 'KCNJ8', 'IL24']"
succinylcholine_PubChem,"['RYR1', 'BCHE', 'CHRNA2', 'CHRNB3', 'CHRNA3', 'CHRNA1', 'MB', 'CHRM1', 'CHRM3', 'CACNA1S', 'CHRNB2', 'CHRNA9', 'CHRM2', 'CHRNA4', 'CHRNA6', 'CHRNA5', 'CHRNA10', 'CHRNB4', 'CHRFAM7A']"
ribociclib_PubChem,"['CCND3', 'CCND1', 'CDK4', 'PIK3CA', 'PGR', 'ESR2', 'NOTCH1', 'ERBB2', 'SMARCA4', 'ESR1', 'GPT', 'NRAS', 'CDC37', 'CDKN2A', 'RB1', 'CDK6', 'CYP3A4', 'CCND2', 'BRAF']"
rivaroxaban_PubChem,"['RELA', 'ABCG2', 'VCAM1', 'CYP2J2', 'HSD17B3', 'F5', 'F3', 'TGFB1', 'GPT', 'STAR', 'HSD3B7', 'IL1B', 'TNF', 'CYP3A5', 'ACTA2', 'ALB', 'F10', 'CYP3A4', 'ABCB1']"
didanosine_PubChem,"['CYP1A2', 'SLPI', 'SLC29A3', 'CYP2D6', 'TNFRSF1B', 'CYP2C19', 'NT5C2', 'CYP2C9', 'XDH', 'IL24', 'HFE', 'TNF', 'COX1', 'IL2RA', 'AR', 'ALB', 'CYP3A4', 'COX2', 'BDNF']"
mycophenolic acid_PubChem,"['UGT1A10', 'UGT1A9', 'IMPDH2', 'UGT2B7', 'UGT1A6', 'IMPDH1', 'CYP2C8', 'SMN2', 'CYP3A5', 'PPARG', 'AR', 'SNCA', 'UGT1A7', 'HSD17B10', 'UGT1A1', 'ALB', 'CYP3A4', 'UGT1A8', 'SMN1']"
meprobamate_PubChem,"['GABRB2', 'GABRA1', 'GABRA6', 'GABRE', 'GABRA3', 'GABRB3', 'CYP2C19', 'GABRA2', 'GABRB1', 'GABRG1', 'GABRA5', 'GABRA4', 'GABRG3', 'GABRD', 'GABRQ', 'GABRP', 'PRKCE', 'PDF', 'GABRG2']"
drospirenone_PubChem,"['AKR1C1', 'SERPINA6', 'NR3C1', 'SHBG', 'PON1', 'PGR', 'HSPD1', 'ABCB11', 'AKR1C4', 'CYP2C19', 'AKR1C2', 'AKR1B10', 'NR3C2', 'CYP17A1', 'NOS2', 'AR', 'HSD11B1', 'PTGS2', 'CYP3A4']"
ephedrine_PubChem,"['APOA1', 'BCHE', 'ADRB2', 'APOC1', 'APOA2', 'CASP3', 'SLC18A2', 'DRD2', 'FOS', 'H2AX', 'APOB', 'APOC2', 'ADRB1', 'ACHE', 'APOC3', 'ALB', 'ADRA1A', 'CFD', 'SLC6A2']"
fluorometholone_PubChem,"['TERT', 'SERPINA6', 'CDKN1A', 'NR3C1', 'TP53', 'AKT1', 'CASP3', 'GLB1', 'F3', 'PLA2G4A', 'VEGFA', 'IL6', 'TNF', 'RB1', 'CYP3A5', 'AR', 'CXCL8', 'SLC22A2', 'CYP3A4']"
metolazone_PubChem,"['CA12', 'CA5A', 'CA5B', 'HLA-B', 'SLC12A3', 'CA14', 'Car13', 'NR1I2', 'CA3', 'HLA-DQB2', 'CA4', 'CA7', 'CA9', 'SLC12A1', 'CA6', 'HSD17B10', 'CA2', 'CYP3A4', 'CA1']"
plerixafor_PubChem,"['NOS3', 'MEN1', 'ACKR3', 'KMT2A', 'CDH1', 'CCR2', 'TNFAIP6', 'CXCL12', 'KITLG', 'ADAMTS1', 'CTSV', 'AKT1', 'MMP9', 'MMP1', 'SNAI2', 'VEGFA', 'PGR', 'CXCR4']"
prazosin_PubChem,"['AR', 'ADRA1D', 'NOS1', 'KCNH2', 'ADRA2B', 'MAPK8', 'ORM1', 'ADRA1B', 'SLC22A1', 'Adra1a', 'HSD17B10', 'ABCG2', 'CYP3A4', 'ADRA2C', 'ADRA1A', 'ADRA2A', 'ABCB1', 'SLC22A3']"
loperamide_PubChem,"['ORF1ab', 'TEK', 'OPRK1', 'CYP2B6', 'AR', 'CYP2D6', 'POMC', 'KCNH2', 'OPRM1', 'TSHR', 'MTOR', 'TP53', 'OPRD1', 'CYP2C8', 'CYP3A4', 'ABCB1', 'CALM3', 'CACNA1A']"
deferasirox_PubChem,"['HAVCR1', 'AR', 'CASP3', 'CYP1A2', 'GC', 'CYP1A1', 'ABCC2', 'UGT1A3', 'CCNT1', 'POLR2A', 'CLU', 'ABCG2', 'CYP27B1', 'CDK9', 'CDK2', 'VDR', 'CYP24A1', 'LCN2']"
apremilast_PubChem,"['CASP3', 'CYP1A2', 'MAPK8', 'CYP2A6', 'GOT1', 'CDK6', 'MAPK1', 'CKM', 'CDK4', 'PDE4D', 'RELA', 'PDE4C', 'PDE4B', 'CYP3A4', 'PDE4A', 'NFKBIA', 'ABCB1', 'LDHA']"
ibutilide_PubChem,"['DDIT3', 'CACNA1C', 'KCNK1', 'CALU', 'ATF6', 'KCNH6', 'KCNJ11', 'KCNH2', 'XBP1', 'KCNK6', 'EIF2AK3', 'CACNB1', 'HSP90B1', 'HSPA5', 'KCNH7', 'CALCA', 'CACNG1', 'CACNA2D1']"
pyridoxine_PubChem,"['PDXP', 'DDC', 'ALPL', 'CYP1A1', 'LOC102724560', 'PSAT1', 'HP', 'BAX', 'SHMT1', 'ALB', 'PDXK', 'TNF', 'ALDH7A1', 'PTH', 'PPARGC1A', 'NTRK1', 'CASP8', 'NEFL']"
vardenafil_PubChem,"['CASP3', 'NLRP3', 'GCLC', 'HMOX1', 'CYP3A5', 'NQO1', 'PYCARD', 'CASP1', 'PDE5A', 'GCLM', 'BMP2', 'IL6', 'IL1B', 'TNF', 'NFE2L2', 'SPP1', 'MYC', 'OGN']"
bromfenac_PubChem,"['MET', 'BMP6', 'CXCL8', 'CYP1A2', 'PTGS2', 'UGT2B7', 'IL1A', 'ABCC2', 'CYP2C8', 'PTGS1', 'CYP2C19', 'EREG', 'IL1B', 'CYP3A4', 'SLC7A11', 'SLPI', 'CYP2C9', 'ABCB11']"
oxymetazoline_PubChem,"['G6PD', 'UGT1A9', 'Adra1d', 'HTR2C', 'HTR1A', 'ADRA2B', 'ADRA1D', 'SLC22A2', 'HTR1D', 'ADRA1B', 'CYP2C19', 'HTR1B', 'CYP3A4', 'ADRA2C', 'ADRA1A', 'ADRA2A', 'CYP2D6', 'Htr2c']"
chloroprocaine_PubChem,"['HTR3A', 'SCN11A', 'SCN4A', 'G6PD', 'SLC6A3', 'BCHE', 'SCN5A', 'CHRNA10', 'SCN1A', 'SCN3A', 'SCN9A', 'GRIN3A', 'SCN10A', 'SCN8A', 'SCN7A', 'SCN2A', 'ATP1A1', 'CYB5R3']"
dofetilide_PubChem,"['AR', 'CYP1A2', 'SLC22A2', 'KCNH2', 'MMP3', 'KCNK2', 'NCF2', 'FKBP1B', 'MMP9', 'CYP2C19', 'KCNJ12', 'CYP3A4', 'ERG', 'CYP2C9', 'CALCA', 'KCNH1', 'CYP2D6', 'PRKCE']"
misoprostol_PubChem,"['GAST', 'PTGER1', 'ADCYAP1', 'CASP3', 'IL23A', 'NPSR1', 'CAT', 'PTGS2', 'PTGER4', 'PTGIR', 'IL10', 'PTGER3', 'IL1B', 'CHRM1', 'TNF', 'PTGER2', 'TAC1', 'BAX']"
fluvoxamine_PubChem,"['SLC6A3', 'HTR2A', 'CYP1A2', 'HTR1A', 'FGF2', 'KCNH2', 'Slc6a4', 'CYP2C19', 'SIGMAR1', 'SLC6A4', 'CHRM1', 'CYP3A4', 'MDGA2', 'COMT', 'CYP2C9', 'ABCB1', 'CYP2D6', 'SLC6A2']"
bisoprolol_PubChem,"['ADRB1', 'ADRB3', 'SLC22A2', 'ADRB2', 'INS', 'PRKCA', 'SLC22A1', 'IL10', 'CCL2', 'GNAS', 'IL6', 'IL1B', 'TNF', 'CYP3A4', 'ACY3', 'ABCB1', 'PRKCD']"
etidronic acid_PubChem,"['SLC25A6', 'PTPRS', 'BGLAP', 'CYP1A2', 'SLC25A4', 'IL11', 'CYP2C19', 'ATP6V1A', 'TNF', 'NR1I2', 'CYP3A4', 'MGP', 'SMPD1', 'CYP2C9', 'TAC1', 'CYP2D6', 'SLC25A5']"
