Drug,Targets
terbinafine,"['KCNH2', 'ALB', 'CXCL10', 'NR1I2', 'ABCC2', 'CYP1B1', 'CYP2C8', 'PTGER3', 'RHOC', 'NFKBIA', 'NFE2L2', 'MAPK3', 'PTK2', 'CCL27', 'CXCL8', 'RHOA', 'ORM1', 'CCL2', 'MMP9', 'RHOB', 'CYP2D6', 'ERG1', 'GSTP1', 'ORM2', 'SQLE', 'CYP1A2', 'TSLP', 'STAT1', 'CYP1A1', 'MAPK1', 'IL5', 'ABCC1', 'CCL5', 'PTGER2', 'IL4', 'CYP3A4', 'CYP2C9', 'MMP2', 'PXN', 'PTGS1', 'TNF', 'HLA-A', 'CYP2C19']"
maprotiline,"['KCNH2', 'SLC6A4', 'HRH1', 'ABCC2', 'HTR2C', 'ABCB11', 'ADRA2B', 'DRD1', 'MAPK3', 'TSHR', 'Kcnj6', 'CHRM1', 'CHRM3', 'TRPM3', 'HTR2A', 'HTR7', 'ORM1', 'MTOR', 'ABCB1', 'CYP2D6', 'MAOB', 'CASP3', 'CHRM2', 'CHRM5', 'ADRA2C', 'CYP1A2', 'SLC22A2', 'ADRA1D', 'Kcnj5', 'MAPK1', 'NOS2', 'ADRA2A', 'SLC6A3', 'SLC6A2', 'CHRM4', 'DRD2', 'CYP3A4', 'BECN1', 'TP53', 'ADRA1A', 'CYP2C9', 'ATXN2', 'ADRA1B']"
ergocalciferol,"['PPARGC1A', 'CYP27A1', 'CACNB4', 'CACNA1H', 'CACNG6', 'CACNA1I', 'CYP24A1', 'EHMT2', 'CACNA2D4', 'NFE2L2', 'CACNA1A', 'CACNA1D', 'CACNA2D3', 'VDR', 'CACNB2', 'SOD1', 'CACNG3', 'DIO3', 'CACNG1', 'CACNA1E', 'CYP2R1', 'CACNA2D1', 'CACNG5', 'CACNG4', 'DIO1', 'RPE', 'CACNA1C', 'CACNA1G', 'CACNA1S', 'CYP11A1', 'CACNB1', 'CACNG2', 'DIO2', 'CACNA1F', 'AR', 'CACNA1B', 'CACNG8', 'GC', 'CACNB3', 'NR1I2', 'CACNA2D2', 'CYP27B1', 'CACNG7']"
lenalidomide,"['MEIS2', 'KRAS', 'SALL4', 'F3', 'FGF2', 'CUL4A', 'CTNNB1', 'IL1RN', 'VEGFA', 'IL1B', 'VEGFC', 'RAB28', 'FAM83F', 'DDB1', 'CDH5', 'SOD1', 'TEK', 'F2R', 'IL12B', 'TGFB1', 'IL6ST', 'RBX1', 'ABCB1', 'TGFBR1', 'Fasl', 'IL1A', 'IL1R1', 'Ins1', 'VEGFB', 'IKZF1', 'ZNF827', 'FGFR2', 'FGFR3', 'FGFR1', 'PTGS2', 'TNFRSF1A', 'IL2', 'TNFRSF1B', 'CASP1', 'CRBN', 'TNF', 'CSNK1A1', 'TNFSF11']"
fluphenazine,"['DRD3', 'SLC22A1', 'HRH1', 'CALM3', 'TFEB', 'HTR1B', 'HTR2C', 'EHMT2', 'HTR6', 'DRD1', 'Htr7', 'HTR2A', 'ALAD', 'HTR7', 'HRH3', 'TAC1', 'PRL', 'TMPRSS2', 'ORF1ab', 'USP1', 'ABCB1', 'HTR1A', 'CYP2D6', 'CHRM2', 'CYP1A2', 'SLC22A2', 'NGF', 'ADRA2A', 'CYP2A6', 'Htr6', 'CYP2E1', 'KCNK2', 'CAT', 'DRD2', 'NOX1', 'DRD5', 'AR', 'CYP3A4', 'CBX1', 'TP53', 'CYP2C9', 'S', 'CYP2C19']"
pyrimethamine,"['SLC22A1', 'H2AX', 'DHFR', 'CYP2C8', 'FOLR1', 'DDIT3', 'HLA-G', 'GPX4', 'BCL6', 'DRD1', 'NFE2L2', 'HTR7', 'CASP9', 'SLC47A1', 'CASP7', 'SOD1', 'CTSB', 'SLC47A2', 'RARA', 'HEXA', 'FOS', 'CASP3', 'GSTP1', 'CASP8', 'SLC46A1', 'SLCO1A2', 'IDH1', 'SLC22A2', 'ADRA2A', 'NOS2', 'SLC6A3', 'STAT3', 'IKBKG', 'SLC6A2', 'CAT', 'IL2', 'AR', 'TP53', 'ACP1', 'CYP2C9', 'SOCS3', 'HEXB']"
ondansetron,"['KCNH2', 'SLC6A4', 'SLC22A1', 'HTR1B', 'HTR2C', 'HTR4', 'HTR1D', 'HTR3B', 'HTR6', 'HTR2A', 'HTR7', 'CHRNA4', 'CYP3A5', 'SLC47A1', 'SLC47A2', 'ABCB1', 'HTR1A', 'GSR', 'HAVCR1', 'CYP2D6', 'HTR3E', 'CASP3', 'HTR1E', 'GRIA1', 'HTR3C', 'HTR3A', 'CYP1A2', 'SLC22A2', 'HTR3D', 'OPRM1', 'L1CAM', 'LCN2', 'PPY', 'HTR2B', 'CYP2E1', 'CAT', 'CYP3A4', 'SLC22A3', 'GRIN2B', 'CYP2C9', 'HTR1F', 'CYP3A7-CYP3A51P']"
perphenazine,"['KCNH2', 'ALB', 'HRH1', 'CALM3', 'HTR2C', 'CYP2C8', 'TNNI3', 'UBE2N', 'HTR6', 'DRD1', 'Htr7', 'THPO', 'FSHB', 'HTR2A', 'HTR7', 'PRL', 'RGS4', 'CYP2C18', 'RAD52', 'GNRH1', 'MTOR', 'CYP2D6', 'CHRM2', 'CES1', 'CYP1A2', 'LHB', 'SLC22A2', 'AOX1', 'GMNN', 'CYP1A1', 'ADRA2A', 'Htr6', 'DRD2', 'NOX1', 'CYP3A4', 'ADRA1A', 'TP53', 'CBX1', 'CYP2C9', 'MPHOSPH8', 'ATXN2', 'CYP2C19']"
idelalisib,"['PIK3CD', 'PIK3CA', 'MIR122', 'CYP2C8', 'FASLG', 'GPT', 'AKT1', 'VEGFA', 'SLCO1B1', 'CYP3A7-CYP3A51P', 'FAS', 'PARP1', 'CYP3A5', 'HIF1A', 'MMP9', 'TGFB1', 'PIK3CG', 'ABCG2', 'BID', 'MTOR', 'CFLAR', 'CYP3A43', 'ABCB1', 'PIK3CB', 'CASP3', 'CASP8', 'RELA', 'AOX1', 'PTEN', 'alt', 'NAT10', 'BCL2', 'UGT1A4', 'CYP2B6', 'PIK3IP1', 'BRAF', 'CYP3A4', 'BCL2L1', 'BAX', 'SLCO1B3', 'TNF', 'CYP2C19']"
repaglinide,"['ALB', 'NOS1AP', 'HLA-K', 'HRH1', 'KCNJ11', 'NR1I2', 'CYP2C8', 'PINK1', 'SLCO2B1', 'DDIT3', 'ABCB11', 'SLC30A8', 'ATF6', 'TCF7L2', 'ABCC9', 'HSPA5', 'IL1B', 'SLCO1B1', 'CXCL8', 'KCNJ1', 'KCNIP3', 'GFAP', 'SLC15A1', 'PAX4', 'MR1', 'PPARG', 'Ins1', 'CASP3', 'GLUD1', 'IGF2BP2', 'HLA-F', 'SLC2A2', 'CAT', 'ABCC8', 'AR', 'CYP3A4', 'BECN1', 'GCK', 'NEUROD1', 'KCNQ1', 'SLCO1B3', 'IL6']"
metformin,"['SLC22A1', 'KRAS', 'ERBB2', 'PIK3CA', 'KCNJ11', 'C11orf65', 'CPA6', 'HNF1B', 'PRPF31', 'SLC19A3', 'HRAS', 'PRKAG2', 'ACACB', 'PRKAB1', 'PRKAG1', 'SLC47A1', 'ATM', 'NBEA', 'PRKAA1', 'SLC47A2', 'PPARA', 'MTOR', 'IDH1', 'GPD1', 'SLC22A2', 'ETFDH', 'PTEN', 'AMHR2', 'PRKAA2', 'PRKAG3', 'SLC2A2', 'CAPN10', 'DPP4', 'FMO5', 'NRAS', 'SLC22A3', 'SP1', 'STK11', 'SLC29A4', 'NR1I2', 'PRKAB2']"
cyproheptadine,"['SLC22A1', 'ALB', 'HRH1', 'SLC6A4', 'HTR2C', 'POMC', 'HTR6', 'DRD1', 'Htr7', 'CHRM3', 'CHRM1', 'HTR2A', 'HTR7', 'HRH3', 'NFKB1', 'HRH2', 'PRL', 'HRH4', 'UGT2B10', 'KCNN2', 'HTR1A', 'SLC22A5', 'CYP2D6', 'CASP3', 'CHRM2', 'UGT1A3', 'SLC22A2', 'ADRA1D', 'CYP1A1', 'HTR2B', 'Htr6', 'UGT1A4', 'SLC6A2', 'DRD2', 'CHRM4', 'IL6', 'SIRT1', 'ADRA1A', 'GH1', 'ADRA1B', 'HSF1']"
duloxetine,"['KCNH2', 'SLC6A4', 'DRD3', 'ALB', 'CYP1B1', 'HTR2C', 'SKIC3', 'HTR6', 'NFE2L2', 'KCNJ5', 'KMT2E', 'HTR2A', 'HMOX1', 'KCNJ3', 'INVS', 'ORM1', 'CYP17A1', 'PRL', 'MIEF2', 'KCNJ6', 'ABCB1', 'CYP2D6', 'ANO2', 'TEX10', 'ORM2', 'NCAM1', 'NRXN1', 'CYP1A2', 'GMNN', 'CYP1A1', 'SLC6A3', 'SLC6A2', 'CYP2B6', 'FCN2', 'TREML4', 'AR', 'CYP3A4', 'ATP10A', 'CYP2C9', 'ZNF385D', 'CYP2C19']"
pravastatin,"['NOS1', 'CETP', 'ABCC2', 'SLCO2B1', 'ABCB11', 'HMGCR', 'HTR3B', 'IL1B', 'SLCO1B1', 'HTR7', 'ABCA1', 'SLC22A7', 'RHOA', 'HDAC2', 'SLC22A11', 'TLR4', 'NPC1L1', 'HLA-DRB1', 'APOE', 'ABCG2', 'ABCB1', 'SLC22A8', 'MTTP', 'SLCO1A2', 'MMP3', 'SLC16A1', 'SLC22A6', 'ACE', 'MTHFR', 'LIPC', 'APOB', 'LPL', 'IL2', 'CYP3A4', 'Hmgcr', 'ADAMTS1', 'LDLR', 'KIF6', 'BAX', 'MMP2', 'SLCO1B3']"
nitrofurantoin,"['ABCC2', 'HSF1', 'MPC1L', 'ABCB11', 'RORC', 'ydbK', 'G6PD', 'NFE2L2', 'HMOX1', 'HSPA8', 'ORM1', 'CRYZ', 'HIF1A', 'TMPRSS2', 'ABCB4', 'LMCD1', 'CYP2C19', 'USP1', 'nfsA', 'ABCG2', 'CNTF', 'XDH', 'ABCB1', 'GSR', 'CYP2D6', 'MPC2', 'POR', 'CYP1A2', 'STAT1', 'CYP1A1', 'STAT3', 'CAT', 'JUN', 'NQO1', 'CYP3A4', 'TGFB2', 'CYP2C9', 'rpsJ', 'GCLC', 'ALDOA', 'AGT']"
cladribine,"['PNP', 'LMNB1', 'YES1', 'RRM2B', 'NFE2L2', 'PDE4A', 'PAWR', 'POLE3', 'CXCL8', 'PARP1', 'CASP9', 'XIAP', 'POLE', 'CASP7', 'BCL2L2', 'ESR1', 'TGFB1', 'RRM1', 'ABCG2', 'CASP3', 'CASP8', 'NT5C1A', 'CDKN1A', 'POLA1', 'PTEN', 'DNMT1', 'DAXX', 'ADA', 'STAT3', 'BCL2', 'RRM2', 'SLC28A3', 'DIABLO', 'IL4', 'KMT2A', 'TP53', 'CASP6', 'DCK', 'IL2RA', 'BIRC3', 'TNF']"
telithromycin,"['KCNH2', 'rplJ', 'rpsC', 'rpmI', 'ABCB11', 'SLCO1B1', 'rpmJ', 'rpsM', 'THRA', 'rpsS', 'rpmB', 'IFNG', 'rplO', 'rplL', 'rpmF', 'rplA', 'rpsP', 'IL1A', 'CYP2D6', 'rpsL', 'ykgM', 'rpsT', 'rpsB', 'rpmA', 'rpsK', 'rpmG', 'rplS', 'rplT', 'rpsG', 'rplK', 'AR', 'CYP3A4', 'rpsR', 'rpmC', 'rpmE', 'rpsD', 'rpsJ', 'rpmH', 'SLCO1B3', 'TNF', 'rpsF']"
primaquine,"['cyp-35A4', 'E2F1', 'CYP1B1', 'F3', 'EGF', 'ABCB11', 'cyp-35A3', 'SLPI', 'G6PD', 'cyp-35A5', 'IL1B', 'EGFR', 'CXCL8', 'NQO2', 'cyp-35C1', 'CYB5R1', 'ABCB4', 'cyp-35A1', 'IGH', 'EREG', 'IL24', 'ABCB1', 'IL1A', 'CYP2D6', 'CFTR', 'cyp-35A2', 'CYP1A2', 'SLC22A2', 'CYP1A1', 'KRT7', 'AHR', 'CYB5R2', 'CYP2E1', 'cyp-35B2', 'IKBKG', 'CYB5R3', 'CYP2B6', 'CYB5R4', 'HBG2', 'CYP3A4', 'cyp-31A3']"
roflumilast,"['CXCL10', 'AKT1', 'DDIT3', 'PDE4D', 'PDE4B', 'ATF6', 'NFE2L2', 'PDE4A', 'IL1B', 'SNCA', 'PPP1R1B', 'HMOX1', 'AQP5', 'PDE8B', 'CCL2', 'CREB1', 'AQP1', 'PRKACA', 'PDE8A', 'PDE4C', 'PDE1B', 'PDE3B', 'CCL3', 'PPP1CC', 'CASP3', 'CFTR', 'BDNF', 'RELA', 'CYP1A2', 'RAPGEF3', 'CCL4', 'PDE7A', 'NGF', 'PDE3A', 'BCL2', 'CAT', 'NQO1', 'CYP3A4', 'BAX', 'TNF', 'IL6']"
pitavastatin,"['ALB', 'NCF1', 'IRF3', 'ABCC2', 'CYP2C8', 'SLCO2B1', 'ABCB11', 'RXRA', 'HMGCR', 'SLCO1B1', 'ABCA1', 'Slco1a4', 'ORM1', 'UGT2B7', 'CCL2', 'IRF4', 'MSTN', 'NR1H2', 'NR1H3', 'HLA-DRB1', 'IFNB1', 'ABCG2', 'LEP', 'PPARA', 'ABCB1', 'UGT1A3', 'SLC10A1', 'PPARD', 'STAT1', 'NOS2', 'PON1', 'NOX4', 'FOXO1', 'NOS3', 'Hmgcr', 'CYP2C9', 'ITGAL', 'SLCO1B3', 'TNF', 'IL6']"
loxapine,"['KCNH2', 'DRD3', 'ADRB1', 'HRH1', 'SLC6A4', 'HTR2C', 'HTR1B', 'HTR1D', 'ADRA2B', 'HTR6', 'DRD1', 'Htr7', 'CHRM3', 'CHRM1', 'HTR2A', 'HTR7', 'DRD4', 'HRH2', 'HRH4', 'HTR1A', 'CYP2D6', 'HTR1E', 'CHRM2', 'HTR3A', 'CHRM5', 'ADRA2C', 'CYP1A2', 'KCNT1', 'Htr6', 'ADRA2A', 'SLC6A3', 'HTR5A', 'KCNK2', 'SLC6A2', 'DRD2', 'CHRM4', 'DRD5', 'CYP3A4', 'ADRA1A', 'ADRA1B']"
ethosuximide,"['WNT3', 'HRH1', 'LRP6', 'CACNA1H', 'CYP19A1', 'CACNA1I', 'CTNNB1', 'regucalcin', 'KCNJ5', 'PAX6', 'NES', 'Cyp313a1', 'Hsp83', 'GstE9', 'KCNJ3', 'CYP3A5', 'CCND1', 'Cyp6a8', 'DKK1', 'FZD1', 'WNT1', 'LEF1', 'KCNJ6', 'CYP3A43', 'WIF1', 'APC', 'HLA-DMB', 'APP', 'AXIN1', 'DCX', 'STAT3', 'CACNA1G', 'CYP2E1', 'GXIVsPLA2', 'HLA-DPA1', 'CYP3A4', 'NEUROD1', 'GSK3B', 'SCN1A', 'CYP3A7-CYP3A51P']"
butabarbital,"['GABRG2', 'ALB', 'GRIK5', 'CHRFAM7A', 'GABRA3', 'GABRG1', 'CHRNB3', 'GRIA4', 'CHRNA7', 'CHRNA4', 'GRIK2', 'GABRP', 'GABRB1', 'GABRB2', 'CHRNA3', 'GABRD', 'CHRNA5', 'CHRNA10', 'GABRA2', 'CHRNB4', 'SLC2A1', 'GABRE', 'GRIA1', 'CHRNA2', 'GABRQ', 'CHRNA6', 'CHRNA9', 'GRIK1', 'GABRA5', 'GABRG3', 'GRIK3', 'GRIA3', 'GRIA2', 'GRIK4', 'GABRA1', 'GABRA4', 'CHRNB2', 'GABRA6', 'GABRB3']"
alprostadil,"['TBXA2R', 'Ptger1', 'TNF', 'ABCC4', 'IL23A', 'PTGER3', 'NFKBIA', 'CATSPER2', 'PTGER4', 'PTGFR', 'REN', 'AGT', 'ADRB2', 'VASP', 'Ptger2', 'Ptgir', 'Ptger4', 'CATSPER1', 'NPPA', 'CYP2D6', 'CASP3', 'TIMP1', 'RELA', 'CYP1A2', 'PTGER1', 'NOS2', 'Ptger3', 'NPPB', 'CATSPER3', 'PTGIR', 'IL6', 'PTGER2', 'CYP3A4', 'PTGDR', 'CYP2C9', 'CXCL2', 'CATSPER4', 'TNFRSF11B', 'CYP2C19']"
trabectedin,"['E2F1', 'CCNB2', 'DHFR', 'MKI67', 'GPX4', 'NFE2L2', 'Cyp3a2', 'PARP1', 'CCNE1', 'NFYB', 'HIF1A', 'Car3', 'NFYC', 'CCND1', 'CDK1', 'Cyp3a23-3a1', 'Nr1i2', 'TFRC', 'MTOR', 'ABCB1', 'ZNF93', 'CYP2D6', 'Cyp3a13', 'CYP1A2', 'FGFR2', 'Cyp3a11', 'ACO1', 'CYP2E1', 'KEAP1', 'Abcb1b', 'NFYA', 'CCNA2', 'CYP3A4', 'CYP2C9', 'CCNB1', 'Abcb1a', 'PTGS1', 'TK1', 'CYP2C19']"
salmeterol,"['KCNH2', 'ADRB1', 'SLC22A1', 'ALB', 'PPARGC1A', 'DUSP1', 'CYP2C8', 'RNASE2', 'NFKBIA', 'SLPI', 'H4C16', 'MAPK3', 'IL1B', 'NR4A3', 'ADRB3', 'ADRB2', 'ORM1', 'CCL2', 'CYP3A5', 'CSF2', 'PPARG', 'SIK1', 'CASP3', 'CASP8', 'CFTR', 'ORM2', 'RELA', 'SLC22A2', 'CCL11', 'MAPK1', 'NHERF1', 'BCL2', 'NR3C1', 'RNASE3', 'AR', 'CYP3A4', 'SLC22A3', 'TNF', 'CYP3A7-CYP3A51P']"
amoxicillin,"['ALB', 'CXCL10', 'CYP2C8', 'HLA-B', 'CYP19A1', 'POLK', 'IL10', 'mrdA', 'mrcB', 'AKR1B10', 'CXCL8', 'AQP5', 'HLA-DRA', 'HLA-DRB1', 'SLC15A1', 'GSR', 'CYP2D6', 'mrcA', 'HLA-DQB1', 'SLCO1A2', 'SLC51A', 'CYP1A2', 'SLC22A6', 'dacC', 'ftsI', 'HLA-C', 'SLC15A2', 'CYP11B2', 'POLH', 'SRXN1', 'NQO1', 'CYP3A4', 'CYP2C9', 'NR1I2', 'GSTT1', 'HLA-DRB5', 'HLA-A', 'CYP2C19']"
pindolol,"['ADRB1', 'UGT1A1', 'ALB', 'HTR1B', 'MAPK3', 'HTR2A', 'ADRB3', 'REN', 'SULT1A1', 'SULT1A2', 'ADRB2', 'ORM1', 'UGT2B7', 'PRL', 'UGT1A6', 'UGT2B4', 'UGT1A10', 'UGT1A9', 'HTR1A', 'CYP2D6', 'GLA', 'ORM2', 'SULT6B1', 'SULT1C4', 'UGT1A3', 'SLC22A2', 'SULT2A1', 'HTR2B', 'SULT1C2', 'UGT1A8', 'MAPK1', 'SULT4A1', 'UGT1A4', 'SULT1B1', 'SULT1C3', 'UGT1A7', 'SULT1A4', 'AGT']"
ceftriaxone,"['ALB', 'ABCC2', 'DHFR', 'ABCC4', 'ACTB', 'G6PD', 'IL1B', 'CXCL8', 'BACE1', 'SLC22A11', 'GLUL', 'ABCG2', 'SLC15A1', 'ABCB1', 'or42d3', 'GSR', 'EPO', 'MME', 'CA1', 'SLC22A8', 'SLC7A11', 'CYP2D6', 'CYP1A2', 'ABCC3', 'SLC22A6', 'ECE1', 'MGST1', 'SLC1A2', 'CYB5R3', 'SLC15A2', 'CAT', 'CA2', 'IDE', 'CYP3A4', 'CYP2C9', 'TNF', 'ACE2', 'CYP2C19']"
floxuridine,"['ERBB2', 'MSH2', 'PIK3CA', 'DHFR', 'TYMP', 'dnk', 'FOLR1', 'MLH1', 'CHEK2', 'TK1', 'FAS', 'PARP1', 'UNG', 'CDC21', 'XRCC1', 'XRCC4', 'TYMS', 'MTHFD1', 'CYP2D6', 'IDH1', 'CYP1A2', 'DNMT1', 'MTHFR', 'C1QBP', 'BCL2', 'APEX1', 'TIMP3', 'ABCC5', 'CHEK1', 'CYP3A4', 'ENO2', 'SERPINA7', 'Trp53', 'TP53', 'CYP2C9', 'GART', 'ATR', 'CYP2C19']"
afatinib,"['ERBB2', 'KRAS', 'MUC5AC', 'ERN1', 'EML4', 'GPT', 'EGF', 'AKT1', 'DDIT3', 'EHMT2', 'MCL1', 'HSPA5', 'POU5F1', 'EGFR', 'XBP1', 'CASP9', 'NFKB1', 'bida', 'EIF2AK3', 'ERBB4', 'ERBB3', 'mapk8b', 'NRG1', 'SET', 'ABCG2', 'ABCB1', 'IKBKB', 'CASP3', 'CASP8', 'CALM2', 'RELA', 'BBC3', 'MET', 'IQGAP1', 'DIABLO', 'BRAF', 'NRAS', 'BAX']"
ranolazine,"['ADRB1', 'CACNB4', 'SCN5A', 'SCN2A', 'ABCB11', 'SCN1B', 'PLG', 'ORM1', 'CACNA1D', 'CACNB2', 'SCN10A', 'SLC47A1', 'SCN2B', 'SCN3A', 'SLC47A2', 'SCN9A', 'KCNJ2', 'ABCB1', 'CYP2D6', 'SCN1A', 'SCN7A', 'KCNJ4', 'ADRA1D', 'SCN4A', 'CACNA1C', 'CACNB1', 'CACNA1S', 'SCN11A', 'SCN3B', 'KCNJ12', 'CACNA1F', 'CYP3A4', 'ADRA1A', 'CACNB3', 'SCN4B', 'KCNJ14', 'SCN8A', 'ADRA1B']"
danazol,"['CP', 'TNF', 'CYP19A1', 'GNRHR2', 'C3', 'IL10', 'ABCB11', 'PGR', 'SHBG', 'STS', 'FSHB', 'LPA', 'CXCL8', 'CFB', 'MBL2', 'PLG', 'CCL2', 'NFKB1', 'PRL', 'TMPRSS2', 'GNRHR', 'HSD11B2', 'CGB5', 'ESR1', 'Ar', 'SERPING1', 'CYP2J2', 'CYP2D6', 'CYP1A2', 'LHB', 'CYP1A1', 'AR', 'CYP3A4', 'CYP2C9', 'CDKN1A', 'ACE2', 'IL6']"
diphenhydramine,"['KCNH2', 'SLC22A1', 'HRH1', 'HNMT', 'F3', 'BMP6', 'SLPI', 'CHRM3', 'IL1B', 'CHRM1', 'CXCL8', 'HRH3', 'HRH2', 'GNAI2', 'CYP2C19', 'HRH4', 'MAPK8', 'EREG', 'IL24', 'SLC22A5', 'SLC7A11', 'BCHE', 'CYP2D6', 'CHRM2', 'CYP1A2', 'SLC22A2', 'ATG5', 'PTGS2', 'GNAI1', 'NR1I3', 'CHRM4', 'PLA2G4A', 'CYP3A4', 'SLC22A3', 'CYP2C9', 'PTGS1', 'IL6']"
phentolamine,"['KCNH2', 'TNF', 'KCNJ11', 'POMC', 'SERPINE1', 'ADRA2B', 'SULT1A3', 'Adra1a', 'MAPK3', 'REN', 'CXCL8', 'SULT1A1', 'SLC2A4', 'CASP7', 'SLC47A1', 'ABCB4', 'SLC47A2', 'TYMS', 'EREG', 'IL24', 'GGT1', 'CYP2D6', 'ALPP', 'CASP3', 'Octbeta2R', 'ADRA2C', 'SLC22A2', 'ADRA1D', 'PYGL', 'ADRA2A', 'MAPK1', 'MET', 'DRD2', 'ADRA1A', 'SLC22A3', 'ADRA1B', 'CYP2C19']"
desogestrel,"['UGT1A1', 'ALB', 'DPEP3', 'CCN5', 'TAF4B', 'PGR', 'SHBG', 'CPB2', 'DHCR24', 'TEX19', 'PROC', 'CYP17A1', 'INSL3', 'AKR1C3', 'ESR1', 'APOE', 'PROK1', 'RHOB', 'VCAM1', 'DDR1', 'CRP', 'SYCP1', 'CYP1A2', 'LHB', 'GMNN', 'HMGCS2', 'PGRMC1', 'CYP11A1', 'PON1', 'CST9L', 'CAT', 'AR', 'CYP3A4', 'LDLR', 'PROS1', 'CYP2C9', 'PAPSS2']"
entacapone,"['UGT1A1', 'TNFAIP6', 'POLK', 'MPC1L', 'HSD17B4', 'SLPI', 'ECHS1', 'IL1B', 'SNCA', 'AUH', 'CXCL8', 'ADPRHL1', 'ACSL1', 'COMT', 'UGT1A10', 'ACOX3', 'Sult2a6', 'HBB', 'PID1', 'EREG', 'CLTC', 'HSD17B13', 'UGT1A9', 'ALPI', 'IL1A', 'SLC7A11', 'CYP2D6', 'PC', 'MPC2', 'UGT1A3', 'SULT2A1', 'Gdh', 'PTGS2', 'UGT1A8', 'MET', 'GPAM', 'UGT1A7']"
ramipril,"['FOXO3', 'NOS1', 'COL1A1', 'BMP7', 'KNG1', 'CCN2', 'ROCK2', 'REN', 'RHOA', 'CCL2', 'BDKRB1', 'TGFB1', 'MAPK8', 'LEP', 'SLC15A1', 'CYBB', 'BCHE', 'CES1', 'MYH7', 'ACE', 'PTGS2', 'NPPB', 'BCL2', 'SLC15A2', 'ADIPOQ', 'PDGFB', 'TIMP4', 'CYBA', 'TGFBR3', 'SIRT1', 'NOS3', 'SMAD2', 'BAX', 'MMP2', 'PDGFA', 'AGT']"
etodolac,"['ALB', 'RXRA', 'BMP6', 'SLPI', 'NFE2L2', 'IL1B', 'CXCL8', 'CASP9', 'UGT2B7', 'HGF', 'CASP7', 'SOX2', 'UGT1A10', 'MMP9', 'PID1', 'BIRC5', 'EREG', 'IL24', 'CD44', 'UGT1A9', 'ITGB1', 'IL1A', 'CASP3', 'APC', 'CXCR4', 'CYP1A2', 'UGT1A3', 'SLC22A6', 'PTGS2', 'BCL2', 'MET', 'ITGAL', 'ITGA4', 'CYP2C9', 'BIRC2', 'PTGS1']"
paliperidone,"['KCNH2', 'DRD3', 'HRH1', 'HTR2C', 'SH2B1', 'HTR1D', 'EHMT2', 'ADRA2B', 'DRD1', 'IL1B', 'HTR2A', 'HTR7', 'CXCL8', 'DRD4', 'CYP3A5', 'PRL', 'ERBB4', 'FADS2', 'ABCB4', 'ABCG2', 'IL24', 'ABCB1', 'HTR1A', 'IL1A', 'CYP2D6', 'BDNF', 'ADRA2C', 'ADRA2A', 'RABEP1', 'MC4R', 'DRD2', 'Abcb1b', 'CYP3A4', 'ADRA1A', 'Abcb1a', 'ADRA1B']"
octocrylene,"['ESR2', 'GstE1', 'HMGCR', 'HMGCS1', 'FABP4', 'CYP12A2', 'XRCC1', 'Cyp18a1', 'GSTT1', 'Eip93F', 'ATM', 'ESR1', 'NLK', 'PPARA', 'Dronc', 'Hsp22', 'ABCB6', 'PPARG', 'INS', 'GSTO1', 'PPARD', 'InR', 'Kr-h1', 'EcR', 'HSP70', 'MET', 'ACAT2', 'ADIPOQ', 'Hsp27', 'Cyp9f2', 'AR', 'Hsp23', 'jhamt', 'Def', 'dis']"
podofilox,"['TUBB2B', 'TUBB', 'NR0B1', 'NR5A1', 'TUBA3C', 'TUBB3', 'TUBB4B', 'TUBA3E', 'TUBB4A', 'PTGS1', 'NR1H4', 'TUBB6', 'PARP1', 'TUBA1C', 'CASP9', 'CASP2', 'TUBA3D', 'Ptgs2', 'TUBA1A', 'TUBA1B', 'CASP3', 'GMNN', 'TUBB1', 'PAX8', 'ODC1', 'TOP2A', 'NR3C1', 'TUBB8', 'TUBB2A', 'TOP2B', 'AR', 'CYP3A4', 'RORA', 'TUBA4A', 'MAPT']"
iloprost,"['TBXA2R', 'PTGDR2', 'BMPR2', 'SLCO2B1', 'FGF2', 'PTGER3', 'PDE4D', 'PDE4B', 'SLCO2A1', 'MAPK3', 'PTGER4', 'BMP4', 'PTGFR', 'PDE4A', 'CCN2', 'IL1B', 'SELL', 'TAC1', 'GPX1', 'PLAT', 'PDE4C', 'PPARA', 'ID1', 'ANGPT1', 'ANGPT2', 'PTGER1', 'MAPK1', 'PTGS2', 'SLCO3A1', 'STK17B', 'PTGIR', 'SMAD6', 'PTGER2', 'PTGDR', 'IL6']"
ropivacaine,"['HRH1', 'SLC25A29', 'TNF', 'SCN5A', 'IL18', 'G6PD', 'NFE2L2', 'KCNE1', 'IL1B', 'HMOX1', 'PARP1', 'GSDMD', 'SULT1A1', 'CASP9', 'SELL', 'ORM1', 'SCN10A', 'NLRP3', 'SULT1E1', 'LDHA', 'CASP3', 'CYP1A2', 'CLU', 'ITGB2', 'ITGAM', 'BCL2', 'CYB5R3', 'CYP2B6', 'CYP3A4', 'CASP1', 'TP53', 'AIFM1', 'BAX', 'KCNQ1', 'SULT1A4']"
